Airport;lat;lng
SVEA airport;77.8927;16.7906
SVALBARD/LONGYEAR airport;78.2464;15.4672
SANDANE/ANDA airport;61.7925;6.0967
SOGNDAL/HAUKASEN airport;61.1894;7.1064
SVOLVAER/HELLE airport;68.2383;14.6644
STOKMARKNES/SKAGEN airport;68.5833;14.9458
SKIEN/GEITERYGGEN airport;59.1764;9.5678
STORD/SORSTOKKEN airport;59.7919;5.3344
SORKJOSEN airport;70.0353;21.0506
VARDO/SVARTNES airport;70.3667;31.0772
SANDNESSJOEN/STOKKA airport;66.0142;12.6369
TROMSO/LANGNES airport;69.6733;18.9167
SANDEFJORD/TORP airport;59.1869;10.2589
TRYSIL/SAETERASEN airport;61.3061;12.2858
KONGSVINGER airport;60.2031;12.0628
OS/VAKSINEN airport;59.7214;11.0825
TRONDHEIM/VAERNES airport;63.4542;10.9231
VADSO airport;70.0536;29.8458
VAEROY airport;67.6698;12.7183
GUDRUN airport;58.8519;2.0911
ELDFISK airport;56.3986;3.208
VALLHALL PH airport;57.75;3.6333
YME airport;58.0778;2.775
EKOFISK A airport;56.5517;3.2208
SOGN OG FJORDANE airport;61.0567;7.106
ROGALAND/ORRE airport;58.7478;5.7725
HORDALAND airport;60.4071;5.068
STAVANGER/SOLA airport;58.8833;5.6333
BYDGOSZCZ/SZWEDEROWO airport;53.0783;18.0983
GDANSK IM LECHA WALESY airport;54.3775;18.4725
KRAKOW/BALICE airport;50.0817;19.817
KATOWICE/PYRZOWICE airport;50.4739;19.0658
LUBLIN airport;51.2372;22.6844
LODZ/LUBLINEK airport;51.722;19.3981
WARSZAWA/MODLIN airport;52.4497;20.6405
POZNAN/LAWICA airport;52.4211;16.8286
RZESZOW/JASIONKA airport;50.11;22.0153
SZCZECIN/GOLENIOW airport;53.5852;14.9042
OLSZTYN-MAZURY airport;53.4808;20.9328
WARSZAWA/CHOPINA airport;52.1672;20.9679
WROCLAW/STRACHOWICE airport;51.1069;16.8831
SANTA MARIA airport;36.9991;25.171
BRAGANCA airport;41.831;6.764
BEJA airport;38.0772;7.9692
CORVO airport;39.4286;31.1156
CASCAIS airport;38.723;9.3512
FLORES airport;39.4478;31.135
FARO airport;37.0175;7.9697
FUNCHAL/MADEIRA I. airport;32.6975;16.7781
GRACIOSA airport;39.0983;27.9903
HORTA airport;38.5218;28.715
LAJES airport;38.7612;27.0898
MADEIRA airport;32.6975;16.7781
PONTA DELGADA airport;37.7441;25.6888
PICO airport;38.5542;28.4419
PORTIMAO airport;37.1517;8.5678
SANTA MARIA OAC/FIC airport;36.9991;25.171
PORTO airport;41.242;8.6781
PORTO SANTO airport;33.0754;16.347
LISBOA airport;38.775;9.1359
SAO JORGE airport;38.6533;28.175
VILA REAL airport;41.2803;7.7289
VISEU airport;40.7303;7.8864
ARAD airport;46.1772;21.2661
BACAU/GEORGE ENESCU airport;46.5208;26.9103
BAIA MARE airport;47.6575;23.4706
BUCURESTI/BANEASA-AUREL VLAICU airport;44.5028;26.0989
CONSTANTA/MIHAIL KOGALNICEANU airport;44.3622;28.4842
CLUJ NAPOCA/AVRAM IANCU airport;46.7853;23.6871
CRAIOVA airport;44.3164;23.8881
IASI airport;47.1783;27.6258
ORADEA airport;47.037;21.9056
BUCURESTI/HENRI COANDA airport;44.5705;26.1021
SIBIU airport;45.7877;24.0883
SUCEAVA/STEFAN CEL MARE airport;47.6897;26.3575
TULCEA/DELTA DUNARII airport;45.0567;28.7067
TARGU MURES/TRANSILVANIA airport;46.4789;24.4131
TIMISOARA/TRAIAN VUIA airport;45.8114;21.3323
BEOGRAD/NIKOLA TESLA airport;44.819;20.3083
NIS airport;43.3372;21.8553
RONNEBY airport;56.265;15.2547
GOTEBORG/LANDVETTER airport;57.6625;12.2858
JONKOPING airport;57.7667;14.075
GOTEBORG/SAVE airport;57.7733;11.8744
STOCKHOLM/SKAVSTA airport;58.788;16.9133
KALMAR airport;56.6853;16.2997
MALMO airport;55.545;13.3761
VAXJO/KRONOBERG airport;56.9189;14.7275
SUNDSVALL-TIMRA airport;62.5386;17.4439
ORNSKOLDSVIK airport;63.298;18.995
KIRUNA airport;67.8219;20.3378
SKELLEFTEA airport;64.6192;20.7203
UMEA airport;63.7917;20.2858
ARE OSTERSUND airport;63.1979;14.4983
OREBRO airport;59.2156;15.0447
KARLSTAD airport;59.3436;13.3556
STOCKHOLM/VASTERAS airport;59.5892;16.6339
LULEA/KALLAX airport;65.5431;22.1228
OESTERSUND airport;63.1979;14.4983
STOCKHOLM/ARLANDA airport;59.6519;17.9186
STOCKHOLM/BROMMA airport;59.3557;17.9427
LINKOPING/SAAB airport;58.4092;15.5186
NORRKOPING/KUNGSANGEN airport;58.5833;16.7861
VISBY airport;57.6719;18.3497
ANGELHOLM airport;56.0353;12.8558
LJUBLJANA/BRNIK airport;46.2238;14.4576
Unknown airport - SLOVAKIA;48.669;19.6991
BRATISLAVA/M.R.STEFANIK airport;48.1706;17.2127
KOSICE airport;48.6631;21.2412
ANKARA/ESENBOGA airport;40.1158;32.9975
ADANA airport;37.0319;35.2525
ANTALYA airport;36.8988;30.8032
GAZIANTEP airport;37.007;36.4776
KASTAMONU airport;41.3439;33.7969
KONYA airport;37.979;32.5701
AMASYA/MERZIFON airport;40.8247;35.1764
SIVAS/NURI DEMIRAG airport;39.8153;36.9033
ZONGULDAK/CAYCUMA airport;41.5064;32.0833
MALATYA airport;38.0772;38.3308
KAYSERI airport;38.7733;35.4958
TOKAT airport;40.3161;36.3122
DENIZLI/CARDAK airport;37.7853;29.7028
KAPADOKYA airport;38.7478;34.9531
ISTANBUL/ATATURK airport;40.9769;28.8153
BALIKESIR/MERKEZ airport;39.6385;27.9175
CANAKKALE airport;40.1389;26.4367
IZMIR/ADNAN MENDERES airport;38.2831;27.1569
USAK airport;38.7231;29.4795
KOCAELI/CENGIZ TOPEL airport;40.7583;30.0883
BURSA/YENISEHIR airport;40.2588;29.5623
MUGLA/DALAMAN airport;36.9242;28.7922
TEKIRDAG/CORLU airport;41.1381;27.8864
ESKISEHIR/HASAN POLATKAN airport;39.805;30.4908
ZAFER airport;39.0625;30.0766
ELAZIG airport;38.6083;39.2908
ORDU-GIRESUN airport;40.9635;38.078
